match_id,date,kickoff_time_utc,stage_id,venue_id,home_team_id,away_team_id,home_score,away_score,status,home_xg,away_xg,referee_id,player_of_the_match_id,home_team,home_ranking,home_elo,home_market_value,home_avg_player_value,home_avg_caps,home_total_caps,home_avg_height,home_total_goals,away_team,away_ranking,away_elo,away_market_value,away_avg_player_value,away_avg_caps,away_total_caps,away_avg_height,away_total_goals,stadium_name,city,country,capacity,latitude,longitude,elevation_meters,stage_name,is_knockout,result,ranking_diff,elo_diff,market_value_diff,avg_player_value_diff,avg_caps_diff,total_caps_diff,height_diff,player_goals_diff
1,2026-06-11,19:00,1,1,1,2,2.0,0.0,Completed,1.84,0.52,1,16.0,Mexico,14,1810,191850000,7378846.153846154,47.57692307692308,1237,179.5,120,South Africa,60,1620,47700000,1834615.3846153845,20.692307692307693,538,178.84615384615384,66,Mexico City Stadium (Estadio Azteca),Mexico City,MEX,80824,19.3031,-99.1506,2200,Group Stage,False,0.0,-46,190,144150000,5544230.76923077,26.884615384615387,699,0.6538461538461604,54
2,2026-06-11,23:00,1,7,3,4,2.0,1.0,Completed,1.45,1.12,2,58.0,South Korea,22,1800,139050000,5348076.923076923,37.46153846153846,974,181.92307692307693,144,Czechia,40,1740,188175000,7237500.0,28.384615384615383,738,185.73076923076923,99,Guadalajara Stadium (Estadio Akron),Zapopan,MEX,48070,20.6811,-103.4628,1566,Group Stage,False,0.0,-18,60,-49125000,-1889423.076923077,9.076923076923077,236,-3.8076923076922924,45
3,2026-06-12,19:00,1,6,5,6,1.0,1.0,Completed,1.35,0.98,3,112.0,Canada,33,1795,196350000,7551923.076923077,37.42307692307692,973,182.30769230769232,134,Bosnia and Herzegovina,64,1645,146400000,5630769.230769231,23.576923076923077,613,187.07692307692307,94,Toronto Stadium (BMO Field),Toronto,CAN,30000,43.6328,-79.4186,76,Group Stage,False,1.0,-31,150,49950000,1921153.846153846,13.846153846153843,360,-4.769230769230745,40
4,2026-06-12,23:00,1,3,13,14,4.0,1.0,Completed,2.76,0.88,4,332.0,USA,17,1850,362650000,13948076.923076924,37.57692307692308,977,183.3846153846154,128,Paraguay,54,1725,153150000,5890384.615384615,27.115384615384617,705,181.6153846153846,54,Los Angeles Stadium (SoFi Stadium),Inglewood,USA,70240,33.9535,-118.339,30,Group Stage,False,0.0,-37,125,209500000,8057692.307692309,10.461538461538463,272,1.7692307692307736,74
5,2026-06-13,15:00,1,10,7,8,1.0,1.0,Completed,0.78,1.54,5,157.0,Qatar,56,1600,19925000,766346.1538461539,61.0,1586,179.3846153846154,216,Switzerland,19,1860,332500000,12788461.538461538,44.15384615384615,1148,185.23076923076923,125,Boston Stadium (Gillette Stadium),Foxborough,USA,65878,42.0909,-71.2643,87,Group Stage,False,1.0,37,-260,-312575000,-12022115.384615384,16.846153846153847,438,-5.84615384615384,91
6,2026-06-13,18:00,1,2,9,10,1.0,1.0,Completed,1.62,1.1,6,215.0,Brazil,6,2030,928200000,35700000.0,35.84615384615385,932,183.1153846153846,153,Morocco,7,1920,447700000,17219230.769230768,27.807692307692307,723,182.3846153846154,102,New York New Jersey Stadium (MetLife Stadium),East Rutherford,USA,82500,40.8136,-74.0744,7,Group Stage,False,1.0,-1,110,480500000,18480769.230769232,8.03846153846154,209,0.7307692307692264,51
7,2026-06-13,21:00,1,14,11,12,0.0,1.0,Completed,1.25,0.65,7,293.0,Haiti,83,1530,54850000,2109615.3846153845,24.73076923076923,643,181.57692307692307,115,Scotland,39,1720,128650000,4948076.923076923,38.03846153846154,989,184.46153846153845,99,Philadelphia Stadium (Lincoln Financial Field),Philadelphia,USA,69796,39.9008,-75.1675,3,Group Stage,False,2.0,44,-190,-73800000,-2838461.5384615385,-13.30769230769231,-346,-2.884615384615387,16
8,2026-06-13,23:59,1,16,15,16,2.0,0.0,Completed,1.48,0.72,8,381.0,Australia,27,1790,80750000,3105769.230769231,28.884615384615383,751,183.57692307692307,75,Türkiye,26,1780,473700000,18219230.769230768,38.03846153846154,989,183.76923076923077,97,Seattle Stadium (Lumen Field),Seattle,USA,69000,47.5952,-122.3316,3,Group Stage,False,0.0,1,10,-392950000,-15113461.538461536,-9.153846153846157,-238,-0.1923076923077076,-22
9,2026-06-14,15:00,1,9,17,18,7.0,1.0,Completed,4.82,0.44,9,423.0,Germany,10,1970,947000000,36423076.92307692,33.07692307692308,860,186.19230769230768,112,Curaçao,82,1520,31400000,1207692.3076923077,24.423076923076923,635,181.92307692307693,73,Atlanta Stadium (Mercedes-Benz Stadium),Atlanta,USA,71000,33.7553,-84.4017,318,Group Stage,False,0.0,-72,450,915600000,35215384.615384616,8.653846153846157,225,4.269230769230745,39
10,2026-06-14,18:00,1,15,21,22,2.0,2.0,Completed,1.95,1.82,10,524.0,Netherlands,8,1980,754200000,29007692.307692308,33.73076923076923,877,185.15384615384616,155,Japan,18,1880,270850000,10417307.692307692,31.653846153846153,823,181.6153846153846,115,San Francisco Bay Area Stadium (Levi's Stadium),Santa Clara,USA,68500,37.4033,-121.9698,8,Group Stage,False,1.0,-10,100,483350000,18590384.615384616,2.07692307692308,54,3.538461538461547,40
11,2026-06-14,21:00,1,11,19,20,1.0,0.0,Completed,1.1,0.95,11,479.0,Côte d'Ivoire,38,1750,523500000,20134615.384615384,27.76923076923077,722,182.92307692307693,83,Ecuador,23,1870,363750000,13990384.615384616,30.192307692307693,785,180.53846153846155,94,Houston Stadium (NRG Stadium),Houston,USA,72220,29.6847,-95.4082,14,Group Stage,False,0.0,15,-120,159750000,6144230.769230768,-2.4230769230769234,-63,2.384615384615387,-11
12,2026-06-14,23:59,1,12,23,24,5.0,1.0,Completed,3.12,0.78,12,581.0,Sweden,25,1815,406075000,15618269.23076923,20.423076923076923,531,186.19230769230768,70,Tunisia,45,1710,66000000,2538461.5384615385,22.923076923076923,596,184.57692307692307,44,Kansas City Stadium (Arrowhead Stadium),Kansas City,USA,76416,39.0489,-94.4839,264,Group Stage,False,0.0,-20,105,340075000,13079807.692307692,-2.5,-65,1.6153846153846132,26
13,2026-06-15,15:00,1,13,29,30,0.0,0.0,Completed,2.15,0.35,13,755.0,Spain,2,2120,1222800000,47030769.23076923,29.153846153846153,758,181.73076923076923,117,Cabo Verde,67,1640,52225000,2008653.8461538462,32.34615384615385,841,181.34615384615384,75,Miami Stadium (Hard Rock Stadium),Miami Gardens,USA,64767,25.9581,-80.2389,2,Group Stage,False,1.0,-65,480,1170575000,45022115.384615384,-3.1923076923076934,-83,0.3846153846153868,42
14,2026-06-15,18:00,1,4,25,26,1.0,1.0,Completed,1.58,1.12,14,658.0,Belgium,9,1950,547500000,21057692.307692308,42.34615384615385,1101,185.80769230769232,214,Egypt,36,1730,110100000,4234615.384615385,32.57692307692308,847,181.19230769230768,129,Dallas Stadium (AT&T Stadium),Arlington,USA,80000,32.7473,-97.0928,184,Group Stage,False,1.0,-27,220,437400000,16823076.923076924,9.769230769230766,254,4.615384615384642,85
15,2026-06-15,21:00,1,8,31,32,1.0,1.0,Completed,0.85,1.76,15,801.0,Saudi Arabia,58,1660,40900000,1573076.923076923,36.26923076923077,943,178.42307692307693,97,Uruguay,16,1960,359300000,13819230.76923077,36.26923076923077,943,180.46153846153845,75,Monterrey Stadium (Estadio BBVA),Guadalupe,MEX,53500,25.669,-100.2444,538,Group Stage,False,1.0,42,-300,-318400000,-12246153.846153848,0.0,0,-2.038461538461519,22
16,2026-06-15,23:59,1,5,27,28,2.0,2.0,Completed,1.88,1.2,16,699.0,IR Iran,20,1820,30550000,1175000.0,45.80769230769231,1191,183.65384615384616,150,New Zealand,85,1510,32100000,1234615.3846153845,32.61538461538461,848,183.07692307692307,108,Vancouver Stadium (BC Place),Vancouver,CAN,54500,49.2768,-123.112,9,Group Stage,False,1.0,-65,310,-1550000,-59615.38461538451,13.192307692307693,343,0.5769230769230944,42
17,2026-06-16,15:00,1,2,33,34,3.0,1.0,Completed,2.44,1.05,1,843.0,France,3,2100,1523000000,58576923.07692308,31.384615384615383,816,184.92307692307693,103,Senegal,15,1840,478100000,18388461.53846154,39.69230769230769,1032,183.96153846153845,132,New York New Jersey Stadium (MetLife Stadium),East Rutherford,USA,82500,40.8136,-74.0744,7,Group Stage,False,0.0,-12,260,1044900000,40188461.538461536,-8.30769230769231,-216,0.9615384615384812,-29
18,2026-06-16,18:00,1,10,35,36,1.0,4.0,Completed,0.68,2.85,2,919.0,Iraq,55,1630,21200000,815384.6153846154,32.5,845,183.03846153846155,89,Norway,44,1775,589900000,22688461.53846154,31.423076923076923,817,187.15384615384616,124,Boston Stadium (Gillette Stadium),Foxborough,USA,65878,42.0909,-71.2643,87,Group Stage,False,2.0,11,-145,-568700000,-21873076.923076924,1.0769230769230766,28,-4.115384615384613,-35
19,2026-06-16,21:00,1,3,37,38,3.0,0.0,Completed,2.65,0.42,3,946.0,Argentina,1,2150,807500000,31057692.307692308,48.73076923076923,1267,179.57692307692307,226,Algeria,28,1760,249450000,9594230.76923077,30.5,793,182.65384615384616,121,Los Angeles Stadium (SoFi Stadium),Inglewood,USA,70240,33.9535,-118.339,30,Group Stage,False,0.0,-27,390,558050000,21463461.538461536,18.230769230769234,474,-3.0769230769230944,105
20,2026-06-16,23:59,1,15,39,40,3.0,1.0,Completed,1.98,0.88,4,1023.0,Austria,24,1830,244600000,9407692.307692308,39.23076923076923,1020,184.96153846153845,151,Jordan,63,1610,25950000,998076.9230769231,41.5,1079,180.30769230769232,91,San Francisco Bay Area Stadium (Levi's Stadium),Santa Clara,USA,68500,37.4033,-121.9698,8,Group Stage,False,0.0,-39,220,218650000,8409615.384615384,-2.2692307692307665,-59,4.653846153846132,60
21,2026-06-17,15:00,1,9,41,42,1.0,1.0,Completed,1.78,1.15,5,1055.0,Portugal,5,2010,1005500000,38673076.92307692,45.23076923076923,1176,181.5,260,Congo DR,61,1670,147400000,5669230.769230769,31.0,806,181.0,81,Atlanta Stadium (Mercedes-Benz Stadium),Atlanta,USA,71000,33.7553,-84.4017,318,Group Stage,False,1.0,-56,340,858100000,33003846.153846152,14.230769230769234,370,0.5,179
22,2026-06-17,18:00,1,13,45,46,4.0,2.0,Completed,2.92,1.64,6,1153.0,England,4,2050,1358200000,52238461.538461536,32.80769230769231,853,184.6153846153846,153,Croatia,11,1940,387300000,14896153.846153846,45.23076923076923,1176,184.76923076923077,155,Miami Stadium (Hard Rock Stadium),Miami Gardens,USA,64767,25.9581,-80.2389,2,Group Stage,False,0.0,-7,110,970900000,37342307.69230769,-12.423076923076927,-323,-0.1538461538461604,-2
23,2026-06-17,21:00,1,11,47,48,1.0,0.0,Completed,1.3,0.75,7,1207.0,Ghana,49,1690,233350000,8975000.0,22.5,585,182.6153846153846,69,Panama,34,1680,34575000,1329807.6923076923,59.84615384615385,1556,181.57692307692307,127,Houston Stadium (NRG Stadium),Houston,USA,72220,29.6847,-95.4082,14,Group Stage,False,0.0,15,10,198775000,7645192.307692308,-37.34615384615385,-971,1.0384615384615472,-58
24,2026-06-17,23:59,1,16,43,44,1.0,3.0,Completed,0.95,2.1,8,1125.0,Uzbekistan,50,1650,85125000,3274038.4615384615,37.38461538461539,972,181.8846153846154,120,Colombia,13,1990,302350000,11628846.153846154,40.73076923076923,1059,180.0,111,Seattle Stadium (Lumen Field),Seattle,USA,69000,47.5952,-122.3316,3,Group Stage,False,2.0,37,-340,-217225000,-8354807.692307692,-3.3461538461538467,-87,1.8846153846153868,9
25,2026-06-18,15:00,1,9,1,3,1.0,0.0,Completed,1.62,0.58,9,7.0,Mexico,14,1810,191850000,7378846.153846154,47.57692307692308,1237,179.5,120,South Korea,22,1800,139050000,5348076.923076923,37.46153846153846,974,181.92307692307693,144,Atlanta Stadium (Mercedes-Benz Stadium),Atlanta,USA,71000,33.7553,-84.4017,318,Group Stage,False,0.0,-8,10,52800000,2030769.230769231,10.11538461538462,263,-2.423076923076934,-24
26,2026-06-18,18:00,1,3,4,2,1.0,1.0,Completed,1.35,1.15,10,96.0,Czechia,40,1740,188175000,7237500.0,28.384615384615383,738,185.73076923076923,99,South Africa,60,1620,47700000,1834615.3846153845,20.692307692307693,538,178.84615384615384,66,Los Angeles Stadium (SoFi Stadium),Inglewood,USA,70240,33.9535,-118.339,30,Group Stage,False,1.0,-20,120,140475000,5402884.615384616,7.69230769230769,200,6.884615384615387,33
27,2026-06-18,21:00,1,5,5,7,6.0,0.0,Completed,3.82,0.22,11,114.0,Canada,33,1795,196350000,7551923.076923077,37.42307692307692,973,182.30769230769232,134,Qatar,56,1600,19925000,766346.1538461539,61.0,1586,179.3846153846154,216,Vancouver Stadium (BC Place),Vancouver,CAN,54500,49.2768,-123.112,9,Group Stage,False,0.0,-23,195,176425000,6785576.923076923,-23.57692307692308,-613,2.923076923076934,-82
28,2026-06-18,23:59,1,1,8,6,4.0,1.0,Completed,2.45,0.88,12,191.0,Switzerland,19,1860,332500000,12788461.538461538,44.15384615384615,1148,185.23076923076923,125,Bosnia and Herzegovina,64,1645,146400000,5630769.230769231,23.576923076923077,613,187.07692307692307,94,Mexico City Stadium (Estadio Azteca),Mexico City,MEX,80824,19.3031,-99.1506,2200,Group Stage,False,0.0,-45,215,186100000,7157692.307692307,20.576923076923077,535,-1.8461538461538396,31
29,2026-06-19,15:00,1,2,9,11,3.0,0.0,Completed,1.16,0.9,13,217.0,Brazil,6,2030,928200000,35700000.0,35.84615384615385,932,183.1153846153846,153,Haiti,83,1530,54850000,2109615.3846153845,24.73076923076923,643,181.57692307692307,115,New York New Jersey Stadium (MetLife Stadium),East Rutherford,USA,82500,40.8136,-74.0744,7,Group Stage,False,0.0,-77,500,873350000,33590384.615384616,11.115384615384617,289,1.5384615384615472,38
30,2026-06-19,18:00,1,4,12,10,0.0,1.0,Completed,0.97,0.54,14,245.0,Scotland,39,1720,128650000,4948076.923076923,38.03846153846154,989,184.46153846153845,99,Morocco,7,1920,447700000,17219230.769230768,27.807692307692307,723,182.3846153846154,102,Dallas Stadium (AT&T Stadium),Arlington,USA,80000,32.7473,-97.0928,184,Group Stage,False,2.0,32,-200,-319050000,-12271153.846153844,10.230769230769234,266,2.076923076923066,-3
31,2026-06-19,21:00,1,6,13,15,2.0,0.0,Completed,1.21,0.32,15,332.0,USA,17,1850,362650000,13948076.923076924,37.57692307692308,977,183.3846153846154,128,Australia,27,1790,80750000,3105769.230769231,28.884615384615383,751,183.57692307692307,75,Toronto Stadium (BMO Field),Toronto,CAN,30000,43.6328,-79.4186,76,Group Stage,False,0.0,-10,60,281900000,10842307.692307692,8.692307692307697,226,-0.1923076923076792,53
32,2026-06-19,23:59,1,8,16,14,0.0,1.0,Completed,0.4,0.3,16,361.0,Türkiye,26,1780,473700000,18219230.769230768,38.03846153846154,989,183.76923076923077,97,Paraguay,54,1725,153150000,5890384.615384615,27.115384615384617,705,181.6153846153846,54,Monterrey Stadium (Estadio BBVA),Guadalupe,MEX,53500,25.669,-100.2444,538,Group Stage,False,2.0,-28,55,320550000,12328846.153846152,10.923076923076923,284,2.1538461538461604,43
33,2026-06-20,15:00,1,10,17,19,2.0,1.0,Completed,1.85,0.72,1,442.0,Germany,10,1970,947000000,36423076.92307692,33.07692307692308,860,186.19230769230768,112,Côte d'Ivoire,38,1750,523500000,20134615.384615384,27.76923076923077,722,182.92307692307693,83,Boston Stadium (Gillette Stadium),Foxborough,USA,65878,42.0909,-71.2643,87,Group Stage,False,0.0,-28,220,423500000,16288461.538461536,5.30769230769231,138,3.269230769230745,29
34,2026-06-20,18:00,1,12,20,18,0.0,0.0,Completed,1.92,0.08,2,443.0,Ecuador,23,1870,363750000,13990384.615384616,30.192307692307693,785,180.53846153846155,94,Curaçao,82,1520,31400000,1207692.3076923077,24.423076923076923,635,181.92307692307693,73,Kansas City Stadium (Arrowhead Stadium),Kansas City,USA,76416,39.0489,-94.4839,264,Group Stage,False,1.0,-59,350,332350000,12782692.307692308,5.76923076923077,150,-1.3846153846153868,21
